creative_id,category,filename,status,url,timestamp
PP-01,Pain Point,pain-money-loss.jpg,failed,error,20260227-090544
PP-02,Pain Point,pain-invisibility.jpg,failed,error,20260227-090544
PP-03,Pain Point,pain-overwhelm.jpg,failed,error,20260227-090544
SP-01,Social Proof,proof-success.jpg,failed,error,20260227-090544
SP-02,Social Proof,proof-reviews.jpg,failed,error,20260227-090544
UR-01,Urgency,urgency-timer.jpg,failed,error,20260227-090544
UR-02,Urgency,urgency-hourglass.jpg,failed,error,20260227-090544
FX-01,Foxy,foxy-hero.jpg,failed,error,20260227-090544
FX-02,Foxy,foxy-working.jpg,failed,error,20260227-090544
ED-01,Educational,edu-gmb.jpg,failed,error,20260227-090544
ED-02,Educational,edu-ranking.jpg,failed,error,20260227-090544
